Age,Job,Credit amount,Duration,Sex_female,Housing_free,Housing_own,Housing_rent,Saving accounts_Missing,Saving accounts_little,Saving accounts_moderate,Saving accounts_quite rich,Saving accounts_rich,Purpose_business,Purpose_car,Purpose_domestic appliances,Purpose_education,Purpose_furniture/equipment,Purpose_radio/TV,Purpose_repairs,Purpose_vacation/others,Risk
30,2,2862,36,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,False
27,2,3123,24,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,True
24,3,7408,60,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,True
25,2,1264,15,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,True
24,2,1554,6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,False
27,2,3652,21,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,False
46,2,3931,48,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,True
40,1,1361,6,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,False
43,2,1203,6,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,False
45,3,3527,12,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,False
25,2,7855,36,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,True
29,2,3357,21,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,False
37,2,2100,18,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,True
29,2,1169,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,False
31,3,8947,36,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,False
23,1,1936,18,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,False
38,2,3512,24,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,False
36,3,6967,24,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,False
30,3,2333,30,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,False
20,2,2039,18,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,True
24,2,9271,36,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,True
36,1,1572,21,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,False
22,1,454,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,False
36,2,6304,36,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,False
43,2,2197,24,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,False
46,3,7629,48,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,False
23,2,1275,10,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,False
